holdingTankMeasurementId,holdingTankId,dateMeasured,temperature,salinity,ph
a972ce73-924f-4871-bf9e-5b9f856145f3,703340b0-b629-452f-8c7d-975852a56729,2007-02-07,23,32,8.2
230e12bf-5acc-4d5b-9d00-9ceda0120a8a,703340b0-b629-452f-8c7d-975852a56729,2007-02-14,23.5,32.2,8
e953fd77-8896-43e9-a113-9036e42c6bb6,703340b0-b629-452f-8c7d-975852a56729,2007-03-16,24.5,28.5,7.9
ac648f0b-24bd-4a76-9a02-68bb3a4fb204,703340b0-b629-452f-8c7d-975852a56729,2007-03-21,23.8,27.5,7.9
7fa15d33-b5cc-42d7-a145-eb3bd4109e18,703340b0-b629-452f-8c7d-975852a56729,2007-03-28,24.6,32,7.8
1078b9f5-3625-47d0-89f9-dc15b466ba0f,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-01-01,23,28.6,8.1
affb41da-6bb4-448b-8703-fd61772417d7,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-01-09,23.1,28.6,8.1
505a3c9f-5f1a-4e69-8ea1-ce3e72190ad8,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-01-14,2.8,27.5,7.6
9ab4ca7e-577f-4fad-8309-1692e1603461,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-01-21,23.8,34.6,7.8
fd8407f9-2a21-4f71-b9b2-f2710945c9fe,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-01-28,23.3,29.7,8.1
332edd57-75d3-4b92-beba-fe3523fe6c4f,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-02-03,23,25.7,8
8e7b6b41-66fd-4133-8466-f23f47144c13,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-02-07,23.2,33.6,7.9
cb2b9f8b-969d-46be-9066-386cecb32e04,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-02-14,23,32.3,8.1
3936c499-e317-413a-9dbd-7e4982e96b35,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-03-16,24.5,30.26,8
9eb087a8-586f-4104-940f-334c5158b2d7,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-03-21,23.8,34,7.9
9d23ee59-1dd5-4879-a224-947ec3073709,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-03-28,24.5,32,7.7
e7c231f6-e99a-4d12-aba9-200af0cbfc3a,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-01-01,23,29.9,8.1
eca68a8f-71fb-4ff5-9841-d8c91041e781,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-01-09,23.6,29.9,7.5
76dbdc39-d8bf-4c15-80a4-3a1373f14f29,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-01-14,25,29.5,7.6
da057904-7126-4d62-8da9-90ecc46f101a,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-01-21,24,29,7.65
b539e705-1aab-4cf5-a268-6f09cae44e2d,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-01-28,23.5,27.4,7.8
6b1ee74f-32b4-4bc8-9404-195156674d20,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-02-03,23,30.2,7.7
87bd31c8-3679-4331-a4cc-b9ec1bb0aa2a,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-02-07,23.6,30.5,7.6
930855f7-bb6d-419a-951c-82190ba2a011,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-02-14,23.6,30.8,8
c054ae1d-3f66-4ec4-99ea-6e5dc8cc7c11,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-03-16,25.5,28.3,8
e6034379-38a5-4b4b-b058-897cc47d7f86,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-03-21,24.1,30.8,8
4136a706-9492-4825-8ae0-e7d90eb7c014,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-03-28,25.8,29.4,7.95
b96cc34f-f451-4556-b36c-5df2d938f9c6,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-04-01,23.5,33.56,8.3
fb3340a0-3a4d-439f-8e26-7070cfb2cc34,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-04-08,22.9,29.2,8.2
41e07719-af5e-4c9c-bb10-316b0734535d,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-04-15,25.7,30.3,8
0633fc3d-6a96-423d-bcf6-6a7dbeb2c3c5,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-04-22,23.5,30.9,7.9
3664295d-c5e5-4ee3-b402-db5f69808631,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-04-28,24.5,32.1,7.9
cd597a03-5e69-4eaf-856a-b0ec53df38b7,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-05-06,25.7,35,8
4dc80ba3-86fb-44fd-8a3f-28bf7f345815,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-05-13,24.8,37.9,8
08629dfa-9cd9-4260-8207-1b6a53129f95,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-05-19,24.4,25,8.15
053249be-a7fc-4254-a110-29a489e25f19,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-05-28,25.4,29.6,8.1
845469d5-05fb-449a-9efb-c36c93e5eaf8,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-06-03,24.2,31.9,7.5
6f834375-8711-40d3-844f-64cb04b7f8e1,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-06-07,25.3,30.6,8.2
19af0529-563b-40ab-9f04-ff6c93be4c20,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-06-15,25.7,32.4,8.3
02176da9-58fb-4d95-ae90-2c5012646c7c,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-06-22,25.7,31.8,8
46e92c3c-e1e6-4896-ae5d-4b28bfe4d535,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-06-28,25.5,32.4,8.3
ea4cdb41-c3f0-4f3f-b453-520ca268abe4,703340b0-b629-452f-8c7d-975852a56729,2007-04-01,23.7,31.5,8.2
bcc485ca-3944-4d2c-b7b8-3768e2d7b291,703340b0-b629-452f-8c7d-975852a56729,2007-04-08,22.9,23,7.9
fd42b2e8-953e-42de-89dc-2be352951c0d,703340b0-b629-452f-8c7d-975852a56729,2007-04-22,23.7,30.4,7.5
4f427b84-818d-4753-a6da-2c17bdd599aa,703340b0-b629-452f-8c7d-975852a56729,2007-04-28,25,30.7,7.4
43806616-28b3-4596-abac-435a50455597,703340b0-b629-452f-8c7d-975852a56729,2007-05-06,26.7,27.3,7.9
48c37e81-a4e9-4815-9da1-5616696008c0,703340b0-b629-452f-8c7d-975852a56729,2007-05-13,25.9,36.5,7.8
f050d823-f4d2-462a-af49-3e37ce28f541,703340b0-b629-452f-8c7d-975852a56729,2007-05-19,25.2,2,7.6
20a102a5-3665-46b7-86d5-44770cb30fb5,703340b0-b629-452f-8c7d-975852a56729,2007-05-28,27.2,29.3,7.9
b323aaf1-d592-468a-8b18-0eb6c76c4ea3,703340b0-b629-452f-8c7d-975852a56729,2007-06-03,25.1,28.4,7
d4ae6da9-a03d-433b-bfde-bf597d2c891b,703340b0-b629-452f-8c7d-975852a56729,2007-06-07,25.8,29.1,8.1
08cf6703-8165-41e8-b337-984e5a8044b8,703340b0-b629-452f-8c7d-975852a56729,2007-06-15,26.5,30.2,7.7
43e512c7-345b-406b-8629-dfef5902ef38,703340b0-b629-452f-8c7d-975852a56729,2007-06-22,26.1,30.9,7
ba6c0022-29ac-4f23-bf9c-426d87fa522b,703340b0-b629-452f-8c7d-975852a56729,2007-06-28,26.6,27.2,7.5
4955d1cf-04b4-46ae-a833-c1a0dfb9fc0b,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-06-28,25.36,30.65,8.2
b972b11a-3477-4097-88ba-b8a44f83e9dd,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-06-22,25.5,31,8
3857f13f-2fca-4fc1-8329-2f766ed8aa3b,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-06-15,25.2,32.2,8.4
89f9b9e4-51e7-43ea-a2fa-e1946fb405ae,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-06-04,25.4,33,8.34
e98b8a8f-8bf6-4c51-838f-41d39c27e948,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-06-03,24.7,32.2,7.9
0daf8fb0-712c-4cdb-a63a-c53cb80c12fe,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-05-28,26.6,31,8.1
7a150ba1-6407-4e29-a446-4835b6773371,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-05-19,25,31,8.1
08cd5100-6fff-4baf-aa49-df0c256965ca,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-05-13,25.4,32,8.1
043645ab-14f8-4883-ba3f-83e5b906c106,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-05-06,25.4,30.5,8.2
40ac9d63-4700-4888-b758-dac69d66fc6a,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-04-28,24.9,32.5,8.1
0e5767f1-681f-4ce7-9555-897d00c30a0a,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-04-22,24.8,31.6,8.1
17341c6d-e09e-425e-a654-41c66bc41a67,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-04-15,25.3,31.3,8.1
769fd987-fd84-4ede-a423-984fd972d22d,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-04-08,24.3,27.2,8
f729ad79-61ce-42e6-b924-9f407a2a5e4c,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-04-01,24.1,33.2,8.1
b27e61ab-2803-49b5-9982-7be26d83c43a,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-04-01,25.1,30.2,8.1
6715f603-0f7b-4bc3-9ad3-d9c635e5fa68,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-04-08,23.3,26.1,8.1
c50585e5-eee3-4c7b-a6d3-3b2664f18e8b,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-04-15,26,29,8
4245cd42-5997-433c-b918-3ffa76bc113d,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-04-22,24.7,30,8
ab058903-59fb-48d7-ad0c-0c9c65268ce3,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-04-28,26.3,27.6,7.9
2f480bef-f9cd-44c1-8a6f-b9aef2deaddf,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-05-06,26.8,26.8,7.9
10084893-1323-452f-9aa9-28123ac4f3f1,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-05-13,26,31,7.9
d2810726-508d-4f99-88c3-6f722750f4ea,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-05-19,23.8,29.3,7.7
dca01d80-164b-4640-b005-ff4435a3c22e,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-05-28,25,29.2,7.8
4f8e8d44-97ae-4082-af03-3896ffd6826a,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-06-03,25.1,27,7.2
b89faf7d-4bb6-48b2-9183-a6ae1d1d91ea,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-06-07,26.5,30,7
9a92b660-c069-4e27-8177-3540da63cb30,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-06-15,26.4,30.7,7.8
9890a36f-31ec-43c8-82fc-4aec18ba107d,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-06-22,27.6,27.8,7.4
84af8214-6156-48aa-afac-1251d63828a5,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-06-28,28.7,29.1,7.8
b664ee92-b36c-4631-b7ef-8ac8d435d2cc,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-07-06,26,33,8.5
ca216367-d733-4d72-a418-cbfd55855ab4,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-07-13,27,34,8
ca2357d6-5993-41f7-9dd9-5fa4e5b9e6d5,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-07-20,26,30.5,7.9
56b999d1-06f4-4ed1-9651-aae0f4ca619d,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-07-27,26.2,29.32,7.81
4fe1c042-c511-4dd5-a19b-1a01dc8e4bcf,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-08-03,26,32.9,7.9
436dd4d6-5098-4302-a013-b9f826604731,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-08-09,25.8,28.5,8.2
8688d221-b646-4c92-bc44-59642b731116,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-08-14,25.4,27.2,8.2
9c392a5b-4358-4e64-822b-3743569dffc5,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-08-20,26.2,29.8,7.9
dfee74f1-cb43-4f94-a101-9dcba8ce3afa,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-08-28,25.6,35.6,8.2
1ab053c4-bddc-471e-8450-43808f1c837a,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-09-06,25.9,32.3,8.1
c3853a2a-26e2-471e-a779-88fd5f1534e3,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-09-11,25.4,30,8.3
0212896a-cfa1-4b24-8f9a-62baeb128878,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-09-18,25.7,34,8.2
48aab909-782d-43a4-8d03-6bb2532f4203,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-09-23,25.6,28,8.3
3af86de1-2a91-42ac-8292-dfc70f7a0549,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-09-29,25.9,35.9,8
b278323a-4b66-40c3-9fea-4587e86060dc,703340b0-b629-452f-8c7d-975852a56729,2007-07-06,25.9,25.8,7
60416b12-34c0-439d-aaf4-1efe7d78cd2c,703340b0-b629-452f-8c7d-975852a56729,2007-07-13,27.4,29.9,7.9
b16ec878-d3ef-41a5-a339-d4f5b7bd30f6,703340b0-b629-452f-8c7d-975852a56729,2007-07-20,26.1,25.4,7.4
cc602d79-8439-4408-999e-b3452e67a277,703340b0-b629-452f-8c7d-975852a56729,2007-07-27,27,29.7,7.8
b8d3f685-afd7-4967-abcd-2966cdd51742,703340b0-b629-452f-8c7d-975852a56729,2007-08-03,26.2,27.8,8
d19c8d24-d401-4416-8f1b-5e8ea71a7da4,703340b0-b629-452f-8c7d-975852a56729,2007-08-09,25.4,31.9,8.1
3225afba-b429-4411-a2a5-89aaeb8a24d2,703340b0-b629-452f-8c7d-975852a56729,2007-08-14,25.5,28.5,8.1
6c646959-dbd7-427a-ba7e-72978c050324,703340b0-b629-452f-8c7d-975852a56729,2007-08-20,25.3,30.5,7.8
7fe5b6a9-1f90-498a-b054-074e00317dda,703340b0-b629-452f-8c7d-975852a56729,2007-08-28,26.6,33,8
1c57b2a1-cf1c-46db-9382-fbed9c31f2f6,703340b0-b629-452f-8c7d-975852a56729,2007-09-06,26.1,27.4,7.5
45c8410b-1d4e-411e-81a6-929e43285680,703340b0-b629-452f-8c7d-975852a56729,2007-09-11,26.4,31.6,7.8
3ccd4db7-ac73-45d5-85ca-fbd9fbd40d16,703340b0-b629-452f-8c7d-975852a56729,2007-09-18,26.5,31,7.3
573e9d74-f7e3-4713-81ed-247e1aa93da4,703340b0-b629-452f-8c7d-975852a56729,2007-09-23,26.8,23,7.9
be279b59-571b-4416-b0d5-44e1c546b6ab,703340b0-b629-452f-8c7d-975852a56729,2007-09-29,26.8,32,7.3
267e76f1-7184-4683-95d6-309cdfcd2c8d,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-07-06,25,31.3,8.1
19d18fab-2e47-4122-8a8b-21c9e4f48970,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-07-13,26.3,31.5,8.2
606810f3-0c90-4557-8576-bf1065a14564,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-07-20,24.6,30,8.1
4983336e-e0ea-4341-bec8-9ff5b31498ec,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-07-27,25.5,30.6,8
61d4d59a-87ab-4ca7-b41c-c01fe2cb6efc,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-08-03,25,30,8
b96409bb-266a-4b3f-86df-67d0ea7c617c,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-08-09,25,28.2,8
80714237-0f61-407b-a8ff-158110f68465,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-08-14,24.9,29,8
e61cdfbb-f564-4660-9025-02d48543fb66,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-08-20,25,28.5,8.4
d949a5c2-3a22-4754-bd65-3112a6cdabb4,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-08-28,25.4,34.2,8.3
e2eb2596-b541-4351-a3a5-9b9b95eb552b,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-09-06,25.2,32.8,8.2
753a8b37-e179-4034-963f-99f53881655f,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-09-11,24.3,32.2,8.2
780e67bb-f0bf-46e3-9526-22b50f3da748,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-09-18,25.5,32.2,8.1
eebe63c4-34bc-404c-9a6e-6b36510b3a7d,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-09-23,24.9,27,8.24
c3428ede-f210-4b04-a9db-b0f478c86438,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-09-29,24.8,31.8,8.12
ced7206c-54f5-4ffd-afe0-d366bcc7c0f1,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-07-06,28.2,26.6,7.9
85a19e20-584d-4c1e-993d-fba9eaa4547d,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-07-13,29.3,28.9,7.9
1ba481f5-e97c-47a2-bb87-3745430e16a3,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-08-20,28.6,27.8,7.1
3cbee3c7-89cf-4757-a78b-89212b513388,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-07-27,29.2,27.8,7.4
910152ee-e0b6-4a64-b646-f6368d33e6d3,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-08-03,28.3,29.1,7.72
615e8f40-9ead-4f5d-9446-4c4fcb97bee1,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-08-09,30,30,7.8
ccb7515d-9494-4fc1-8008-ffef189c50c5,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-08-14,29.5,31.1,8
5d23f725-aaa7-4388-a1b0-c62244cf52c3,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-08-20,29.6,26.9,7.8
66ffbdca-82e8-4908-9b0b-91d451c10006,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-08-28,29.3,31,7.9
2718d11e-0289-4ef0-b183-ff415c37f945,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-09-03,28.3,28.8,7.93
15554f9a-ace9-47ad-8582-ec83e39bcc24,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-09-11,27.9,29.4,7.92
42b4d3e4-b732-483f-8938-f0b08faec35a,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-09-18,27.7,29.7,7.9
8bb9d11a-f017-455a-9c87-fc1c1031640c,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-09-23,28.5,28,7.9
63765b2a-0fc6-4363-8eaf-3d0c9d39945f,3b05bd27-a998-443c-8c78-b992af3df6b1,2007-09-29,27.8,29.7,7.8
41a95a1a-7897-464a-9a11-e2c1b1d79787,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-10-01,25.7,27.2,7.98
c79e1d94-4aac-42ee-b594-e26cae350d00,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-10-07,25.8,244.9,7.7
45da801e-106b-4082-9460-98538480d44a,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-10-15,26.3,30.76,7.96
071de504-7149-4dbf-814d-c6855cb6f9ce,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-10-21,26.5,23.7,7.72
11b9ca7a-b445-4c0e-a86b-81404bd6544b,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-10-28,26.5,29.2,6.9
64150cb7-69dd-4903-ada0-e99082ed4d2c,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-11-04,24.1,23.5,8
3af469e9-e9f1-4ac6-8e28-469d10ccf7e5,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-11-12,24.5,36.5,8
56a5257c-8146-4df3-8334-6f090ed5c8a9,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-11-18,24.3,31.9,7.7
1794f8bd-45ec-45d4-9ea6-a1787d155b4a,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-11-25,25.8,30.4,7.64
da59f885-7e6c-4a30-b799-8f87a9becc07,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-12-02,24.8,26.4,7.6
04c7722a-d7ce-4d83-bd73-47d8020649c0,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-12-08,26,29.3,8.1
aa24b2fb-1d26-4df8-ad69-d3848fe0b051,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-12-15,26.8,23.6,8.2
d69d9003-192d-43d0-91a5-342292d3e6ed,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-12-23,24.8,22,8.12
be7ed0b0-abd8-433b-b6f8-185b376899d7,2d4403df-5b6d-4469-a28e-d957c03ce813,2007-12-31,23.8,29,6.9
8e75e2e4-50a6-4cae-909f-b15235e03342,703340b0-b629-452f-8c7d-975852a56729,2007-10-01,27.1,32.2,7.2
c5df1c57-b8fa-4aca-b9cf-4b559bbfa887,703340b0-b629-452f-8c7d-975852a56729,2007-10-07,26.4,23.3,7.6
eebf3f6f-f74d-442e-993a-e209bf7ddd75,703340b0-b629-452f-8c7d-975852a56729,2007-10-15,27.4,26.4,8.4
821c7de2-8417-4e1b-afe0-94535459571a,703340b0-b629-452f-8c7d-975852a56729,2007-10-21,27.1,36.7,7.9
76c49006-6fd8-462e-9729-7164edeef6ef,703340b0-b629-452f-8c7d-975852a56729,2007-10-28,26.8,31.6,7.9
b9b42b46-3e71-49fd-b555-07f1b4431394,703340b0-b629-452f-8c7d-975852a56729,2007-11-04,24.9,30.6,8.1
e2aff7ae-aaf5-4ac8-821f-6600a8af312d,703340b0-b629-452f-8c7d-975852a56729,2007-11-12,24.4,32,7.96
79e25fd4-7892-4e75-9f05-f82456002504,703340b0-b629-452f-8c7d-975852a56729,2007-11-18,24,29.1,7.9
f29ad573-1b64-45d6-a05a-641d346fa7f7,703340b0-b629-452f-8c7d-975852a56729,2007-11-25,25.9,26.7,7.8
1eb4e3b9-50fb-43c0-b000-e6d02a0932a0,703340b0-b629-452f-8c7d-975852a56729,2007-12-02,25.2,30.9,8.1
a6690135-4455-4be6-82bb-a90036e68f2b,703340b0-b629-452f-8c7d-975852a56729,2007-12-08,24.3,26,8.4
48107e91-397f-4eb8-993b-e9eefbb84589,703340b0-b629-452f-8c7d-975852a56729,2007-12-15,26.6,21.5,8.05
89f47c59-e2a4-44c6-8ab9-e0af93169220,703340b0-b629-452f-8c7d-975852a56729,2007-12-23,24.7,28,7.95
e7d11a71-235d-4296-bdcf-73a3815f4864,703340b0-b629-452f-8c7d-975852a56729,2007-12-31,25.3,32,7.7
52e3600d-6991-4035-893b-b567f4fa12ac,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-10-01,25.5,32.3,8.3
8cb81498-4196-436c-88c2-3ec971adaf7f,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-10-07,25,26,7.8
13a4f5fa-4afa-4ff7-8443-5c9531c7c023,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-10-15,26,28.6,7.44
01e71d43-b476-4e19-aea2-ab0f17c41e80,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-10-21,25,32.2,8
b600c730-515d-4db6-a37a-c882ea519e4f,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-10-28,25.6,30.5,8.7
d0188a82-4a64-4d76-8796-aaee10461a54,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-11-04,25.2,30.5,8.13
03790f28-558c-435a-8a73-54bc42736fd7,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-11-12,24.84,30.95,8.2
3d5b8a62-73de-47b4-9131-f1349b414830,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-11-18,24.75,29.58,8
be843a1f-e26f-4d23-86b2-c64e7645bac7,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-11-25,26,26.8,7.97
6b41208a-9ba3-419d-9904-290baabcc127,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-12-02,25.6,29.1,7.8
6efcd516-ac64-4a2b-922a-811810541fe7,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-12-08,25.7,32.9,8.2
e926f55b-3a9a-4f07-b8c4-613ca9b9f4e2,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-12-15,26.7,28,7.61
62ff3b9e-2834-4615-a438-98a9c6273646,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-12-23,24.6,20,7.43
22db9d2a-4987-465e-aa28-49b6ac9e1cf5,c4ebf2bb-60ed-4672-80e7-37ad1bd916d7,2007-12-31,24.75,32,7.21
